Area;Vol_N;Vol_R;Vol_total;Fecha;id;_uid_;poligono;id_2;producto;num_expte;ano;mes;volumen_produccion;trimestre;regalias;tasa_insp_fisc;ano_comer;mes_comer;productor_comer;producto_comer;volumen_comercializado;valor_fob_usd;valor_fob_ars;tasas_comercial;tasa_cambio;sin_comercializacion
429,8;3103100,17;4550855,86;7653956,03;2023;;;;;;;;;;;;;;;;;;;;;;
33,7;207668,5;102616,14;310284,64;2023;;20;176;45;Turba embolsada - Musgus Sphagnum;10;2020;1;628,4;1;6912,4;5184,3;;;;;0;0;0;0;0;verdadero
33,7;207668,5;102616,14;310284,64;2023;;45;176;45;Turba embolsada - Musgus Sphagnum;10;2020;2;0;1;0;0;;;;;0;0;0;0;0;verdadero
33,7;207668,5;102616,14;310284,64;2023;;70;176;45;Turba embolsada - Musgus Sphagnum;10;2020;3;420;1;4620;3465;;;;;0;0;0;0;0;verdadero
33,7;207668,5;102616,14;310284,64;2023;;96;176;45;Turba embolsada - Musgus Sphagnum;10;2020;4;0;2;0;0;;;;;0;0;0;0;0;verdadero
33,7;207668,5;102616,14;310284,64;2023;;121;176;45;Turba embolsada - Musgus Sphagnum;10;2020;5;0;2;0;0;;;;;0;0;0;0;0;verdadero
33,7;207668,5;102616,14;310284,64;2023;;142;176;45;Turba embolsada - Musgus Sphagnum;10;2020;6;0;2;0;0;;;;;0;0;0;0;0;verdadero
33,7;207668,5;102616,14;310284,64;2023;;166;176;45;Turba embolsada - Musgus Sphagnum;10;2020;7;0;3;0;0;;;;;0;0;0;0;0;verdadero
33,7;207668,5;102616,14;310284,64;2023;;192;176;45;Turba embolsada - Musgus Sphagnum;10;2020;8;0;3;0;0;;;;;0;0;0;0;0;verdadero
33,7;207668,5;102616,14;310284,64;2023;;217;176;45;Turba embolsada - Musgus Sphagnum;10;2020;9;0;3;0;0;;;;;0;0;0;0;0;verdadero
33,7;207668,5;102616,14;310284,64;2023;;242;176;45;Turba embolsada - Musgus Sphagnum;10;2020;10;0;4;0;0;;;;;0;0;0;0;0;verdadero
33,7;207668,5;102616,14;310284,64;2023;;266;176;45;Turba embolsada - Musgus Sphagnum;10;2020;11;0;4;0;0;;;;;0;0;0;0;0;verdadero
33,7;207668,5;102616,14;310284,64;2023;;291;176;45;Turba embolsada - Musgus Sphagnum;10;2020;12;0;4;0;0;;;;;0;0;0;0;0;verdadero
33,7;207668,5;102616,14;310284,64;2023;;316;176;45;Turba embolsada - Musgus Sphagnum;10;2021;1;0;1;0;0;;;;;0;0;0;0;0;verdadero
33,7;207668,5;102616,14;310284,64;2023;;341;176;45;Turba embolsada - Musgus Sphagnum;10;2021;2;0;1;0;0;;;;;0;0;0;0;0;verdadero
33,7;207668,5;102616,14;310284,64;2023;;366;176;45;Turba embolsada - Musgus Sphagnum;10;2021;3;0;1;0;0;;;;;0;0;0;0;0;verdadero
